userid,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471214000000,,move,716.141,901.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471231000000,,move,738.448,901.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471247000000,,move,757.847,904.119,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471264000000,,move,777.598,913.569,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471281000000,,move,794.976,913.935,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471297000000,,move,802.947,915.289,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471314000000,,move,810.749,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471331000000,,move,818.483,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471347000000,,move,825.816,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471381000000,,move,839.457,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471396000000,,move,846.98,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471431000000,,move,858.517,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471446000000,,move,868.47,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471464000000,,move,877.236,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471481000000,,move,887.08,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471497000000,,move,896.786,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471511000000,,move,904.938,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471531000000,,move,908.377,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471554000000,,move,914.941,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471578000000,,move,922.428,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471596000000,,move,919.951,922.945,1,0.000000596046,,,
